DATE(MODE),DATE(MEAN),AUTHOR,PATH
1996-06-22,1996-07-02,tridge,install-sh
1996-06-22,1996-07-23,tridge,tech_report.tex
1996-06-22,2004-01-13,wayned,match.c
1996-06-22,2006-06-10,wayned,rsync.h
1996-06-22,2006-08-24,wayned,main.c
1996-06-22,2009-11-19,wayned,Makefile.in
1996-07-03,2006-07-15,paulus,token.c
1998-03-25,1998-03-25,tridge,lib/dummy.in
1998-05-07,1998-05-07,paulus,zlib/dummy.in
1998-05-07,1998-08-01,paulus,zlib/trees.h
1998-05-07,1999-06-15,paulus,zlib/trees.c
1998-05-07,2000-01-27,paulus,zlib/deflate.h
1998-05-07,2001-02-03,paulus,zlib/inffast.h
1998-05-07,2001-08-20,paulus,zlib/zutil.h
1998-05-07,2001-12-02,paulus,zlib/zutil.c
1998-05-07,2002-03-13,paulus,zlib/deflate.c
1998-05-07,2005-04-01,wayned,zlib/README
1998-05-09,2003-10-30,wayned,socket.c
1998-05-10,2000-09-18,tridge,params.c
1998-05-10,2005-10-27,wayned,loadparm.c
1998-05-13,2004-03-23,wayned,connection.c
1998-05-22,2000-02-15,tridge,zlib/README.rsync
1998-05-27,2006-05-18,wayned,fileio.c
1998-07-25,2006-01-14,wayned,sender.c
1998-07-25,2006-12-29,wayned,cleanup.c
1998-07-25,2007-01-23,wayned,receiver.c
1998-10-29,2001-12-17,tridge,lib/mdfour.c
1998-10-30,2001-01-05,tridge,support/rsyncstats
2000-10-26,2002-02-06,mbp,csprotocol.txt
2001-02-23,2001-02-23,mbp,popt/COPYING
2001-02-23,2001-03-23,mbp,popt/README
2001-02-23,2002-08-17,mbp,popt/findme.c
2001-02-24,2001-04-10,mbp,popt/CHANGES
2001-02-24,2003-06-15,wayned,popt/poptint.h
2001-02-24,2004-11-27,wayned,popt/system.h
2001-03-23,2003-01-05,tridge,errcode.h
2001-08-08,2002-08-03,mbp,m4/socklen_t.m4
2001-08-16,2004-07-22,mbp,testsuite/hands.test
2001-08-21,2004-04-29,mbp,shconfig.in
2001-08-29,2004-01-08,mbp,runtests.sh
2001-08-29,2004-07-09,mbp,testsuite/ssh-basic.test
2001-08-30,2001-08-30,mbp,rsyncsh.txt
2001-09-06,2003-05-11,wayned,testsuite/longdir.test
2001-09-12,2001-10-18,mbp,rsync3.txt
2001-11-23,2008-11-28,wayned,configure.ac
2001-11-27,2001-12-03,mbp,lib/inet_pton.c
2001-11-27,2002-03-03,mbp,lib/inet_ntop.c
2001-11-27,2003-04-19,mbp,lib/permstring.h
2001-12-14,2002-06-27,mbp,testsuite/symlink-ignore.test
2002-01-11,2002-09-07,mbp,testsuite/duplicates.test
2002-01-11,2006-01-03,wayned,testsuite/hardlinks.test
2002-02-09,2003-04-30,mbp,testsuite/chgrp.test
2002-02-09,2008-09-07,wayned,testsuite/chown.test
2002-02-26,2002-02-26,mbp,doc/profile.txt
2002-02-26,2002-04-17,mbp,testhelp/maketree.py
2002-03-11,2002-03-11,mbp,doc/README-SGML
2002-03-11,2002-03-26,mbp,doc/rsync.sgml
2002-03-12,2002-05-09,mbp,testsuite/README.testsuite
2002-03-12,2002-12-07,mbp,testsuite/daemon-gzip-download.test
2002-03-12,2003-01-28,mbp,testsuite/daemon-gzip-upload.test
2002-03-25,2003-10-23,mbp,trimslash.c
2002-03-25,2003-10-28,mbp,testsuite/trimslash.test
2002-03-25,2004-04-11,wayned,getgroups.c
2002-04-03,2002-04-04,mbp,Doxyfile
2002-04-05,2002-08-27,mbp,testsuite/unsafe-links.test
2002-04-08,2003-08-13,mbp,testsuite/unsafe-byname.test
2002-04-08,2004-09-02,mbp,pipe.c
2002-04-08,2004-12-15,mbp,t_unsafe.c
2002-04-08,2007-07-27,wayned,t_stub.c
2002-06-23,2002-11-09,jht,packaging/solaris/build_pkg.sh
2002-07-28,2002-01-27,wayned,popt/findme.h
2002-07-28,2002-07-15,wayned,popt/popt.c
2002-07-28,2002-07-28,wayned,popt/README.rsync
2002-07-28,2002-08-31,wayned,popt/poptconfig.c
2002-07-28,2003-08-30,wayned,popt/popthelp.c
2002-07-28,2003-09-24,wayned,popt/popt.h
2003-01-10,2004-08-31,dwd,access.c
2003-04-23,2006-03-24,wayned,testsuite/exclude.test
2003-07-05,2004-12-18,wayned,testsuite/wildmatch.test
2003-07-05,2005-03-01,wayned,lib/wildmatch.h
2003-07-07,2004-07-27,wayned,wildtest.c
2003-12-17,2003-03-30,mbp,TODO
2004-02-10,2005-10-23,jw,lib/pool_alloc.3
2004-02-10,2006-02-06,jw,lib/pool_alloc.h
2004-02-10,2006-04-24,wayned,lib/pool_alloc.c
2004-02-28,2006-10-17,wayned,progress.c
2004-05-18,2006-06-21,mbp,testsuite/rsync.fns
2004-07-22,2005-06-06,wayned,testsuite/compare-dest.test
2004-07-23,2005-01-29,wayned,testsuite/batch-mode.test
2004-08-10,2005-03-09,wayned,testsuite/chmod.test
2004-08-10,2005-06-24,wayned,getfsdev.c
2004-08-10,2008-02-14,wayned,testsuite/chmod-temp-dir.test
2004-09-20,2005-11-27,wayned,testsuite/backup.test
2005-01-12,2005-01-12,wayned,support/Makefile
2005-01-12,2005-02-11,wayned,support/savetransfer.c
2005-01-20,2006-10-23,wayned,support/mnt-excl
2005-01-25,2006-10-18,wayned,exclude.c
2005-02-14,2006-01-22,wayned,util.c
2005-02-20,2006-08-17,wayned,testsuite/delete.test
2005-03-13,2010-02-06,wayned,packaging/lsb/rsync.spec
2005-03-15,2006-11-26,wayned,testsuite/fuzzy.test
2005-05-14,2005-10-24,wayned,support/cvs2includes
2005-05-28,2006-11-24,wayned,testsuite/relative.test
2005-06-10,2007-01-24,wayned,testsuite/itemize.test
2005-06-17,2007-11-17,wayned,support/rrsync
2005-06-17,2008-08-14,wayned,packaging/cull_options
2005-07-08,2005-03-27,wayned,zlib/inffixed.h
2005-07-08,2005-04-28,wayned,zlib/crc32.c
2005-07-08,2005-07-14,wayned,zlib/crc32.h
2005-07-08,2005-08-01,wayned,zlib/inftrees.c
2005-07-08,2005-11-30,wayned,zlib/compress.c
2005-07-08,2006-04-04,wayned,zlib/inflate.c
2005-07-08,2006-07-14,wayned,zlib/inftrees.h
2005-07-08,2006-09-17,wayned,zlib/inflate.h
2005-07-08,2007-05-15,wayned,zlib/inffast.c
2005-07-23,2006-12-09,wayned,zlib/adler32.c
2005-10-04,2006-03-11,wayned,support/logfilter
2005-11-07,2006-05-14,wayned,testsuite/chmod-option.test
2005-11-07,2006-07-15,wayned,chmod.c
2006-01-03,2005-01-05,wayned,lib/wildmatch.c
2006-01-31,2006-08-13,wayned,support/files-to-excludes
2006-02-03,2006-03-04,wayned,testsuite/executability.test
2006-02-05,2008-10-25,wayned,testsuite/dir-sgid.test
2006-03-22,2006-05-01,wayned,support/file-attr-restore
2006-04-26,2004-09-22,wayned,lib/permstring.c
2006-11-09,2004-04-23,wayned,popt/poptparse.c
2006-11-19,2006-07-06,wayned,log.c
2006-12-09,2007-09-01,wayned,hlink.c
2006-12-09,2007-10-09,wayned,generator.c
2006-12-28,2007-03-04,wayned,flist.c
2007-02-04,2008-04-27,wayned,rounding.c
2007-03-11,2007-06-08,wayned,testsuite/default-acls.test
2007-03-11,2007-06-29,wayned,io.h
2007-03-11,2007-08-07,wayned,lib/sysacls.c
2007-03-11,2007-09-23,wayned,acls.c
2007-03-18,2008-02-18,wayned,lib/md5.c
2007-03-18,2013-02-15,wayned,lib/mdigest.h
2007-03-19,2006-08-31,wayned,testsuite/merge.test
2007-04-08,2008-10-12,wayned,lib/sysxattrs.c
2007-04-08,2008-10-15,wayned,lib/sysxattrs.h
2007-04-08,2009-06-21,wayned,xattrs.c
2007-04-08,2009-10-10,wayned,testsuite/xattrs.test
2007-04-24,2007-06-24,wayned,lib/sysacls.h
2007-04-24,2008-05-12,wayned,testsuite/devices.test
2007-04-24,2008-10-28,wayned,tls.c
2007-07-07,2006-10-21,wayned,COPYING
2007-09-09,2009-02-21,wayned,clientserver.c
2007-09-09,2009-07-03,wayned,support/lsh.sh
2007-09-23,2010-01-19,wayned,ifuncs.h
2007-09-29,2007-09-14,wayned,testsuite/acls.test
2007-11-03,2007-11-03,wayned,lib/addrinfo.h
2007-11-03,2007-11-06,wayned,lib/getaddrinfo.c
2007-11-10,2011-03-30,wayned,.gitignore
2007-11-10,2014-05-31,wayne,configure
2007-11-27,2008-02-12,wayned,support/munge-symlinks
2007-12-18,2014-02-23,wayned,prepare-source
2008-03-19,2010-10-12,matt,testsuite/missing.test
2008-03-22,2008-03-22,wayned,packaging/lsb/rsync.xinetd
2008-04-16,2006-06-06,tridge,README.md
2008-06-01,2007-11-06,wayned,testsuite/daemon.test
2008-06-24,2008-10-25,wayned,support/deny-rsync
2008-07-14,2009-01-02,wayned,options.c
2008-07-15,2006-07-24,wayned,testsuite/00-hello.test
2008-08-15,2008-09-30,matt,support/instant-rsyncd
2008-09-02,2006-01-20,wayned,lib/compat.c
2008-09-02,2008-11-09,wayned,inums.h
2008-09-02,2009-12-09,wayned,itypes.h
2008-10-12,2007-01-15,wayned,support/atomic-rsync
2008-11-10,2009-07-08,wayned,testsuite/files-from.test
2008-11-16,2009-06-29,wayned,uidlist.c
2008-11-16,2009-08-25,wayned,support/mapfrom
2008-11-16,2009-08-25,wayned,support/mapto
2009-01-04,2009-02-01,wayned,delete.c
2009-04-12,2008-01-24,wayned,backup.c
2009-10-14,2009-08-12,wayned,byteorder.h
2009-10-17,2008-03-02,wayned,io.c
2009-11-24,2008-07-02,wayned,rsync.c
2009-12-14,2010-01-05,wayned,testrun.c
2010-08-27,2010-10-02,wayned,case_N.h
2010-10-13,2006-02-03,wayned,authenticate.c
2011-05-31,2005-05-18,wayned,lib/snprintf.c
2012-01-29,2012-07-27,wayned,support/rsync-slash-strip
2012-10-08,2014-03-05,wayned,support/lsh
2013-05-20,2013-05-20,wayned,lib/getpass.c
2013-06-10,2005-09-09,wayned,zlib/zconf.h
2013-06-10,2006-08-25,wayned,zlib/ChangeLog
2013-06-10,2006-10-12,wayned,zlib/zlib.h
2013-06-10,2013-06-10,wayned,zlib/gzguts.h
2013-06-12,2016-07-16,wayned,util2.c
2013-06-16,2013-12-01,wayned,stunnel-rsyncd.conf.in
2014-01-02,2014-06-08,wayned,support/rsync-no-vanished
2015-04-08,2015-04-08,tiziano.mueller,m4/have_type.m4
2015-04-08,2015-04-08,tiziano.mueller,m4/validate_cache_system_type.m4
2016-05-02,2014-04-24,wayne,checksum.c
2016-07-23,2014-01-12,metze,hashtable.c
2016-10-11,2009-03-10,wayned,syscall.c
2020-04-08,2020-04-08,wayned,m4/header_major_fixed.m4
2020-04-08,2020-04-13,rsync,mkproto.awk
2020-04-10,2020-04-10,wayned,latest-year.h
2020-04-10,2020-04-13,wayned,support/git-set-file-times
2020-04-10,2020-04-14,wayned,packaging/year-tweak
2020-04-12,2018-11-08,wayned,packaging/release-rsync
2020-04-12,2019-12-06,wayned,packaging/patch-update
2020-04-12,2020-04-13,wayned,packaging/branch-from-patch
2020-04-12,2020-05-01,wayne,packaging/pkglib.py
2020-04-24,2020-04-30,wayne,testsuite/atimes.test
2020-04-30,2019-10-14,wayne,packaging/var-checker
2020-05-22,2020-05-29,git,simd-checksum-x86_64.cpp
2020-05-23,2020-05-23,git,lib/md5-asm-x86_64.S
2020-05-25,2014-05-25,wayne,compat.c
2020-05-26,2009-09-08,wayned,batch.c
2020-06-09,2020-06-09,wayne,maybe-make-man
2020-06-09,2020-06-11,wayne,md2man
2020-06-09,2020-06-11,wayne,rsyncd.conf.5.md
2020-06-09,2020-06-12,wayne,rsync-ssl.1.md
2020-06-09,2020-06-12,wayne,rsync.1.md
2020-06-11,2020-06-11,wayne,packaging/pre-push
2020-06-12,2012-03-28,wayne,clientname.c
2020-06-12,2020-03-21,wayne,rsync-ssl
2020-06-14,2020-06-18,wayne,packaging/md2html
2020-06-16,2020-06-16,wayne,help-from-md.awk
2020-06-17,2008-03-31,tridge,config.guess
2020-06-17,2011-08-15,wayne,config.sub
2020-06-17,2018-08-19,mail,packaging/systemd/rsync.service
2020-06-17,2020-06-17,mail,packaging/systemd/rsync.socket
2020-06-17,2020-06-18,mail,packaging/systemd/rsync@.service
2020-06-19,2020-06-19,wayne,define-from-md.awk
2020-06-21,2020-06-21,wayne,lib/md-defines.h
2020-06-22,2020-06-22,wayne,cmdormsg
2020-06-22,2020-06-23,wayne,NEWS.md
2020-06-29,2012-12-15,wayned,prepare-source.mak
2020-06-29,2020-06-30,wayne,packaging/prep-auto-dir
2020-06-29,2020-07-04,wayne,packaging/auto-Makefile
2020-07-01,2020-07-01,wayne,daemon-parm.awk
2020-07-01,2020-07-01,wayne,daemon-parm.txt
2020-07-10,2020-07-13,wayne,.cirrus.yml
2020-07-16,2020-07-16,6764151+benrubson,.gitattributes
2020-07-18,2020-07-18,wayne,support/nameconvert
2020-07-21,2020-07-09,wayne,.github/workflows/build.yml
2020-07-23,2020-07-23,wayne,testsuite/crtimes.test
2020-07-24,2017-03-10,wayne,INSTALL.md
2020-07-24,2020-07-24,wayne,testsuite/mkpath.test
2020-07-25,2020-07-25,wayne,packaging/smart-make
2020-08-01,2020-08-02,wayne,mkgitver
2020-08-04,2020-08-04,wayne,usage.c
2020-08-07,2020-08-07,wayne,version.h
